item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD000001,PROD00022,3,780.06,40.24
ITEM000002,ORD000002,PROD00124,7,1473.1,92.17
ITEM000003,ORD000002,PROD00135,2,1664.95,51.27
ITEM000004,ORD000003,PROD00457,8,540.62,60.03
ITEM000005,ORD000003,PROD00093,6,1229.67,43.41
ITEM000006,ORD000003,PROD00437,9,686.78,46.35
ITEM000007,ORD000003,PROD00230,3,1861.68,52.73
ITEM000008,ORD000004,PROD00298,2,1814.88,47.76
ITEM000009,ORD000005,PROD00131,5,1683.87,52.31
ITEM000010,ORD000005,PROD00303,9,157.68,4.51
ITEM000011,ORD000006,PROD00523,2,931.99,72.03
ITEM000012,ORD000007,PROD00364,2,1538.45,1.63
ITEM000013,ORD000007,PROD00474,3,1686.61,4.53
ITEM000014,ORD000007,PROD00427,5,631.32,72.41
ITEM000015,ORD000008,PROD00272,3,426.08,7.82
ITEM000016,ORD000008,PROD00266,2,870.43,1.79
ITEM000017,ORD000008,PROD00405,3,1313.32,46.02
ITEM000018,ORD000008,PROD00415,10,1453.19,30.28
ITEM000019,ORD000009,PROD00405,2,254.55,1.39
ITEM000020,ORD000009,PROD00115,4,1718.73,20.92
ITEM000021,ORD000009,PROD00149,7,1684.97,85.82
ITEM000022,ORD000010,PROD00089,8,300.59,42.19
ITEM000023,ORD000010,PROD00120,3,1478.87,44.53
ITEM000024,ORD000011,PROD00483,-4,1172.53,20.13
ITEM000025,ORD000011,PROD00402,1,209.81,84.76
ITEM000026,ORD000011,PROD00443,8,1475.47,59.58
ITEM000027,ORD000011,PROD00298,7,974.77,59.1
ITEM000028,ORD000012,PROD00238,9,42.94,57.64
ITEM000029,ORD000012,PROD00066,7,1778.84,11.69
ITEM000030,ORD000012,PROD00356,7,46.51,28.8
ITEM000031,ORD000012,PROD00197,8,468.05,21.97
ITEM000032,ORD000013,PROD00480,5,1447.38,39.04
ITEM000033,ORD000013,PROD00427,6,1592.97,79.98
ITEM000034,ORD000013,PROD00166,5,1382.94,8.62
ITEM000035,ORD000014,PROD00133,3,1213.47,10.09
ITEM000036,ORD000014,PROD00426,8,610.79,20.94
ITEM000037,ORD000014,PROD00049,6,1762.41,35.7
ITEM000038,ORD000014,PROD00163,9,68.78,6.37
ITEM000039,ORD000015,PROD00117,2,1126.15,48.64
ITEM000040,ORD000015,PROD00349,1,1541.34,55.7
ITEM000041,ORD000015,PROD00155,9,1210.56,10.41
ITEM000042,ORD000015,PROD00052,8,1598.98,96.26
ITEM000043,ORD000016,PROD00109,10,1565.4,94.74
ITEM000044,ORD000017,PROD00520,2,1742.38,91.1
ITEM000045,ORD000018,PROD00300,9,999.29,87.05
ITEM000046,ORD000018,PROD00158,6,1639.23,12.3
ITEM000047,ORD000019,PROD00450,1,494.41,80.91
ITEM000048,ORD000019,PROD00350,3,175.04,37.24
ITEM000049,ORD000020,PROD00370,4,307.46,75.35
ITEM000050,ORD000020,PROD00432,3,1604.53,41.34
ITEM000051,ORD000020,PROD00420,9,1590.24,36.18
ITEM000052,ORD000020,PROD00031,1,1436.66,51.73
ITEM000053,ORD000021,PROD00087,7,1963.98,16.43
ITEM000054,ORD000022,PROD00403,3,1805.51,5.78
ITEM000055,ORD000023,PROD00430,9,1747.72,72.16
ITEM000056,ORD000023,PROD00322,1,1654.87,90.02
ITEM000057,ORD000023,PROD00151,8,1289.54,88.76
ITEM000058,ORD000024,PROD00354,7,1551.92,88.1
ITEM000059,ORD000024,PROD00087,6,783.04,71.89
ITEM000060,ORD000024,PROD00130,9,571.44,9.28
ITEM000061,ORD000024,PROD00320,3,51.73,89.03
ITEM000062,ORD000025,PROD00248,5,1454.39,98.7
ITEM000063,ORD000025,PROD00114,6,523.21,50.75
ITEM000064,ORD000025,PROD00127,2,900.23,57.24
ITEM000065,ORD000026,PROD00465,4,1611.75,98.9
ITEM000066,ORD000027,PROD00359,10,1346.51,71.44
ITEM000067,ORD000027,PROD00533,2,659.05,58.24
ITEM000068,ORD000028,PROD00466,7,1657.73,8.19
ITEM000069,ORD000028,PROD00064,3,955.12,44.62
ITEM000070,ORD000028,PROD00379,7,1178.54,51.89
ITEM000071,ORD000029,PROD00271,7,1993.04,68.9
ITEM000072,ORD000029,PROD00502,7,1648.5,14.43
ITEM000073,ORD000029,PROD00131,8,263.12,70.45
ITEM000074,ORD000029,PROD00121,8,949.34,74.65
ITEM000075,ORD000030,PROD00122,7,225.12,36.96
ITEM000076,ORD000030,PROD00297,3,239.9,30.49
ITEM000077,ORD000030,PROD00384,8,60.82,14.29
ITEM000078,ORD000031,PROD00050,5,1778.67,21.56
ITEM000079,ORD000031,PROD00501,-5,700.55,87.04
ITEM000080,ORD000031,PROD00428,5,1133.7,90.03
ITEM000081,ORD000031,PROD00387,10,269.96,13.85
ITEM000082,ORD000032,PROD00461,3,1733.36,32.52
ITEM000083,ORD000032,PROD00420,7,681.3,4.58
ITEM000084,ORD000032,PROD00454,2,1732.58,70.72
ITEM000085,ORD000032,PROD00317,2,1289.61,8.52
ITEM000086,ORD000033,PROD00535,8,1007.76,1.87
ITEM000087,ORD000034,PROD00020,4,494.35,70.56
ITEM000088,ORD000034,PROD00455,9,1215.68,40.18
ITEM000089,ORD000035,PROD00504,1,683.21,18.05
ITEM000090,ORD000036,PROD00325,2,233.72,9.93
ITEM000091,ORD000037,PROD00293,5,1537.77,15.42
ITEM000092,ORD000037,PROD00418,1,1230.88,32.53
ITEM000093,ORD000038,PROD00060,2,643.48,41.28
ITEM000094,ORD000039,PROD00265,2,108.5,23.96
ITEM000095,ORD000039,PROD00243,9,773.17,11.51
ITEM000096,ORD000039,PROD00063,9,817.12,48.42
ITEM000097,ORD000040,PROD00240,1,541.97,96.35
ITEM000098,ORD000040,PROD00104,9,1304.84,12.56
ITEM000099,ORD000040,PROD00417,9,410.9,96.79
ITEM000100,ORD000040,PROD00383,3,1565.14,53.75
ITEM000101,ORD000041,PROD00463,8,1922.42,62.07
ITEM000102,ORD000041,PROD00172,-4,550.24,25.09
ITEM000103,ORD000041,PROD00390,4,1172.39,51.03
ITEM000104,ORD000041,PROD00047,9,1128.35,30.06
ITEM000105,ORD000042,PROD00126,9,1997.65,87.83
ITEM000106,ORD000042,PROD00216,6,1768.44,94.54
ITEM000107,ORD000042,PROD00268,8,549.66,66.23
ITEM000108,ORD000042,PROD00330,8,1918.19,32.85
ITEM000109,ORD000043,PROD00003,1,1803.38,67.27
ITEM000110,ORD000043,PROD00424,8,1526.12,53.81
ITEM000111,ORD000044,PROD00032,8,1346.13,35.3
ITEM000112,ORD000045,PROD00367,1,253.9,37.05
ITEM000113,ORD000045,PROD00198,4,1487.57,75.84
ITEM000114,ORD000045,PROD00367,10,1252.35,80.84
ITEM000115,ORD000045,PROD00227,8,1934.76,3.68
ITEM000116,ORD000046,PROD00215,-4,226.34,27.73
ITEM000117,ORD000046,PROD00513,9,391.57,73.88
ITEM000118,ORD000046,PROD00180,3,1493.22,12.74
ITEM000119,ORD000046,PROD00234,5,387.74,67.8
ITEM000120,ORD000047,PROD00465,-4,1283.73,94.31
ITEM000121,ORD000047,PROD00054,6,867.93,99.51
ITEM000122,ORD000047,PROD00281,9,935.84,36.15
ITEM000123,ORD000048,PROD00230,7,1067.16,31.62
ITEM000124,ORD000049,PROD00200,10,1616.31,99.03
ITEM000125,ORD000049,PROD00232,7,1915.76,91.7
ITEM000126,ORD000049,PROD00202,5,130.37,62.53
ITEM000127,ORD000049,PROD00029,1,1187.1,62.63
ITEM000128,ORD000050,PROD00257,8,480.53,34.08
ITEM000129,ORD000050,PROD00056,9,1589.25,94.35
ITEM000130,ORD000050,PROD00450,8,1159.97,8.55
ITEM000131,ORD000051,PROD00035,2,1566.38,6.2
ITEM000132,ORD000052,PROD00057,7,136.25,67.76
ITEM000133,ORD000052,PROD00054,7,806.36,61.73
ITEM000134,ORD000052,PROD00421,10,1576.01,62.4
ITEM000135,ORD000052,PROD00465,7,1760.48,61.92
ITEM000136,ORD000053,PROD00027,6,1177.69,10.8
ITEM000137,ORD000053,PROD00013,2,1187.81,84.08
ITEM000138,ORD000053,PROD00130,5,714.01,48.14
ITEM000139,ORD000054,PROD00191,1,125.68,31.17
ITEM000140,ORD000054,PROD00447,6,625.82,88.52
ITEM000141,ORD000054,PROD00150,5,1208.64,29.11
ITEM000142,ORD000054,PROD00009,3,119.35,50.71
ITEM000143,ORD000055,PROD00433,4,1282.91,20.13
ITEM000144,ORD000056,PROD00350,8,1391.09,98.19
ITEM000145,ORD000057,PROD00344,7,660.6,10.48
ITEM000146,ORD000057,PROD00044,1,1279.34,69.32
ITEM000147,ORD000057,PROD00478,4,964.09,76.83
ITEM000148,ORD000058,PROD00385,3,1653.04,0.67
ITEM000149,ORD000058,PROD00011,1,1111.61,14.24
ITEM000150,ORD000058,PROD00451,10,1825.85,35.99
ITEM000151,ORD000059,PROD00204,3,441.8,26.2
ITEM000152,ORD000060,PROD00348,4,361.19,2.15
ITEM000153,ORD000060,PROD00269,1,1663.73,13.72
ITEM000154,ORD000061,PROD00347,5,915.13,36.96
ITEM000155,ORD000062,PROD00176,10,1763.92,87.84
ITEM000156,ORD000062,PROD00067,3,1590.82,19.17
ITEM000157,ORD000062,PROD00388,6,1201.1,97.7
ITEM000158,ORD000063,PROD00048,10,382.26,53.55
ITEM000159,ORD000063,PROD00153,1,1260.77,28.01
ITEM000160,ORD000064,PROD00521,8,422.43,8.14
ITEM000161,ORD000064,PROD00482,10,134.42,50.86
ITEM000162,ORD000065,PROD00511,3,647.04,37.39
ITEM000163,ORD000065,PROD00495,8,950.15,58.12
ITEM000164,ORD000065,PROD00038,4,906.9,23.44
ITEM000165,ORD000066,PROD00314,7,1144.88,93.55
ITEM000166,ORD000066,PROD00384,2,272.99,8.4
ITEM000167,ORD000067,PROD00532,10,87.08,51.23
ITEM000168,ORD000067,PROD00345,8,867.85,36.75
ITEM000169,ORD000067,PROD00510,7,54.31,44.17
ITEM000170,ORD000067,PROD00272,6,1803.44,29.45
ITEM000171,ORD000068,PROD00284,2,241.58,36.02
ITEM000172,ORD000069,PROD00342,6,503.8,74.52
ITEM000173,ORD000069,PROD00282,10,1996.0,99.84
ITEM000174,ORD000070,PROD00009,5,1645.51,78.31
ITEM000175,ORD000070,PROD00414,10,1516.82,1.19
ITEM000176,ORD000070,PROD00525,3,1731.6,22.76
ITEM000177,ORD000071,PROD00486,10,1573.02,75.76
ITEM000178,ORD000071,PROD00473,2,629.58,18.78
ITEM000179,ORD000072,PROD00215,9,65.06,13.9
ITEM000180,ORD000072,PROD00132,1,1002.1,65.88
ITEM000181,ORD000072,PROD00364,7,854.31,75.26
ITEM000182,ORD000072,PROD00307,1,1137.32,3.22
ITEM000183,ORD000073,PROD00158,6,1138.54,79.91
ITEM000184,ORD000073,PROD00401,4,1897.64,6.37
ITEM000185,ORD000074,PROD00193,6,1141.18,45.15
ITEM000186,ORD000074,PROD00312,2,1351.4,17.76
ITEM000187,ORD000074,PROD00501,-2,143.63,96.3
ITEM000188,ORD000074,PROD00291,5,1320.84,7.0
ITEM000189,ORD000075,PROD00378,3,656.91,90.98
ITEM000190,ORD000076,PROD00161,3,1075.22,47.83
ITEM000191,ORD000076,PROD00071,4,264.21,20.57
ITEM000192,ORD000076,PROD00443,8,321.77,57.51
ITEM000193,ORD000076,PROD00318,9,1434.96,45.9
ITEM000194,ORD000077,PROD00008,8,132.62,39.92
ITEM000195,ORD000077,PROD00253,10,1759.08,46.02
ITEM000196,ORD000078,PROD00094,8,696.83,84.26
ITEM000197,ORD000079,PROD00401,3,833.03,17.96
ITEM000198,ORD000079,PROD00443,3,1398.55,9.55
ITEM000199,ORD000079,PROD00045,3,551.18,62.81
ITEM000200,ORD000080,PROD00069,4,1817.93,41.13
ITEM000201,ORD000080,PROD00125,2,1512.02,50.44
ITEM000202,ORD000080,PROD00334,3,509.27,50.61
ITEM000203,ORD000081,PROD00028,8,765.41,74.6
ITEM000204,ORD000081,PROD00200,1,504.96,70.91
ITEM000205,ORD000081,PROD00140,8,972.09,6.82
ITEM000206,ORD000081,PROD00249,8,284.81,82.04
ITEM000207,ORD000082,PROD00175,10,205.53,29.41
ITEM000208,ORD000082,PROD00401,1,1356.38,15.35
ITEM000209,ORD000083,PROD00183,1,1785.91,53.23
ITEM000210,ORD000083,PROD00453,9,1283.82,71.64
ITEM000211,ORD000083,PROD00106,5,890.75,59.82
ITEM000212,ORD000084,PROD00387,4,752.42,23.85
ITEM000213,ORD000085,PROD00017,1,677.55,19.22
ITEM000214,ORD000086,PROD00226,2,1594.86,83.05
