order_id,customer_id,order_date,status,region_code
ORD000001,CUST00050,2025-10-03 04:47:41,DELIVERED,NORTH
ORD000002,UNKNOWN,2024-09-26 19:43:35,DELIVERED,EAST
ORD000003,CUST00157,2024-12-05 11:57:02,DELIVERED,EAST
ORD000004,CUST00104,2025-11-25 10:49:31,DELIVERED,SOUTH
ORD000005,CUST00108,2025-07-31 05:52:45,PLACED,NORTH
ORD000006,CUST00510,2024-11-30 04:17:23,DELIVERED,SOUTH
ORD000007,CUST00420,2025-02-13 06:59:35,DELIVERED,SOUTH
ORD000008,CUST00493,2025-03-12 16:08:45,PLACED,NORTH
ORD000009,CUST00506,2024-10-22 17:30:09,DELIVERED,NORTH
ORD000010,CUST00104,2026-06-01 15:33:28,SHIPPED,EAST
ORD000011,CUST00052,2024-09-14 09:49:14,CANCELLED,EAST
ORD000012,CUST00321,2025-05-25 18:22:26,PLACED,NORTH
ORD000013,UNKNOWN,2024-10-14 09:06:25,SHIPPED,EAST
ORD000014,CUST00275,2026-05-12 05:13:07,DELIVERED,EAST
ORD000015,CUST00411,2025-05-05 18:27:09,SHIPPED,WEST
ORD000016,CUST00490,2026-03-12 04:26:51,CANCELLED,SOUTH
ORD000017,CUST00061,2026-04-15 17:04:11,DELIVERED,WEST
ORD000018,CUST00449,2024-11-16 16:11:22,DELIVERED,NORTH
ORD000019,CUST00134,2025-07-09 02:30:18,PLACED,WEST
ORD000020,CUST00065,2025-01-18 02:03:54,PLACED,SOUTH
ORD000021,CUST00347,2025-08-06 01:58:01,DELIVERED,NORTH
ORD000022,CUST00255,2025-07-08 05:04:05,DELIVERED,WEST
ORD000023,CUST00056,2024-07-07 22:19:25,SHIPPED,WEST
ORD000024,CUST00170,2024-08-26 00:50:13,SHIPPED,EAST
ORD000025,CUST00052,2025-07-27 15:05:43,DELIVERED,WEST
ORD000026,CUST00081,2025-06-20 11:23:28,DELIVERED,NORTH
ORD000027,CUST00458,2025-03-01 09:03:42,DELIVERED,NORTH
ORD000028,CUST00423,2024-07-26 17:12:12,PLACED,NORTH
ORD000029,CUST00312,2026-05-21 06:07:03,SHIPPED,WEST
ORD000030,CUST00373,2026-03-31 22:09:35,SHIPPED,WEST
ORD000031,CUST00485,2026-01-06 12:43:20,DELIVERED,NORTH
ORD000032,CUST00228,2024-06-30 14:12:06,CANCELLED,EAST
ORD000033,CUST00383,2025-12-26 05:16:00,CANCELLED,WEST
ORD000034,CUST00420,2024-09-19 23:09:17,SHIPPED,NORTH
ORD000035,CUST00403,2024-12-13 08:07:38,DELIVERED,EAST
ORD000036,CUST00425,2024-08-04 00:04:38,CANCELLED,NORTH
ORD000037,CUST00462,2025-06-19 03:34:32,RETURNED,SOUTH
ORD000038,CUST00005,2025-08-14 19:57:20,DELIVERED,WEST
ORD000039,CUST00495,2026-06-16 20:46:11,RETURNED,SOUTH
ORD000040,CUST00178,2026-01-17 06:39:18,PLACED,EAST
ORD000041,CUST00394,2025-05-20 01:43:27,RETURNED,SOUTH
ORD000042,CUST00352,2025-02-12 09:02:24,PLACED,WEST
ORD000043,CUST00307,2026-04-14 17:17:39,CANCELLED,SOUTH
ORD000044,CUST00298,2025-12-14 04:36:36,DELIVERED,SOUTH
ORD000045,CUST00331,2026-01-01 15:10:56,DELIVERED,WEST
ORD000046,CUST00428,2025-12-04 14:03:26,CANCELLED,EAST
ORD000047,CUST00433,2026-03-18 00:00:00,PLACED,WEST
ORD000048,CUST00058,2024-12-01 03:41:56,DELIVERED,EAST
ORD000049,CUST00150,2026-04-11 20:27:32,DELIVERED,SOUTH
ORD000050,CUST00034,2025-04-03 11:34:22,PLACED,SOUTH
ORD000051,CUST00399,2024-12-30 10:20:54,DELIVERED,EAST
ORD000052,CUST00049,2026-06-18 12:10:35,DELIVERED,EAST
ORD000053,CUST00056,2024-07-08 22:56:14,SHIPPED,WEST
ORD000054,CUST00377,2026-02-05 09:28:32,DELIVERED,SOUTH
ORD000055,CUST00199,2025-02-12 09:07:04,RETURNED,NORTH
ORD000056,CUST00178,2026-01-20 20:07:21,DELIVERED,WEST
ORD000057,CUST00271,2024-10-07 21:51:49,CANCELLED,NORTH
ORD000058,CUST00159,2024-07-29 21:47:39,SHIPPED,NORTH
ORD000059,CUST00309,2025-07-14 21:46:48,DELIVERED,NORTH
ORD000060,CUST00326,2025-08-10 23:19:18,SHIPPED,NORTH
ORD000061,CUST00164,2025-05-17 22:46:05,DELIVERED,EAST
ORD000062,CUST00219,2025-11-26 02:41:55,DELIVERED,SOUTH
ORD000063,CUST00487,2025-09-07 21:17:04,RETURNED,NORTH
ORD000064,CUST00355,2025-06-10 01:05:14,DELIVERED,SOUTH
ORD000065,CUST00329,2025-04-21 02:32:54,RETURNED,WEST
ORD000066,CUST00290,2024-07-18 01:47:45,CANCELLED,EAST
ORD000067,CUST00457,2025-07-11 00:00:00,CANCELLED,SOUTH
ORD000068,CUST00085,2024-09-11 10:00:19,RETURNED,NORTH
ORD000069,CUST00216,2025-12-01 13:12:00,SHIPPED,WEST
ORD000070,CUST00211,2025-08-20 13:42:46,CANCELLED,WEST
ORD000071,CUST00074,2026-01-30 00:18:06,PLACED,EAST
ORD000072,UNKNOWN,2024-08-24 18:41:24,DELIVERED,NORTH
ORD000073,CUST00234,2026-06-06 11:16:06,DELIVERED,WEST
ORD000074,CUST00018,2025-04-27 10:05:19,DELIVERED,NORTH
ORD000075,CUST00047,2025-12-25 06:38:08,DELIVERED,NORTH
ORD000076,CUST00309,2025-10-13 00:27:16,DELIVERED,WEST
