product_id,product_name,category,subcategory,cost_price
PROD00001,Himself Educational,Books,Educational,772.29
PROD00002,Morning Audio,Electronics,Audio,1418.4
PROD00003,Action Accessorie,Electronics,Accessories,1446.22
PROD00004,Recognize Audio,Electronics,Audio,642.28
PROD00005,Edge Audio,Electronics,Audio,668.13
PROD00006,Thus Accessorie,Electronics,Accessories,103.19
PROD00007,Sure Decor,Home,Decor,898.1
PROD00008,Positive Bedding,Home,Bedding,648.15
PROD00009,Return Laptop,Electronics,Laptops,1332.7
PROD00010,Company Comic,Books,Comics,601.1
PROD00011,Sometimes Accessorie,Electronics,Accessories,999.34
PROD00012,My Furniture,Home,Furniture,714.03
PROD00013,  Challenge Phone   ,Electronics,Phones,1118.16
PROD00014,Like Furniture,Home,Furniture,881.77
PROD00015,Collection Kitchen,Home,Kitchen,1311.04
PROD00016,Country Fiction,Books,Fiction,902.61
PROD00017,Others Kitchen,Home,Kitchen,323.04
PROD00018,Others NonFiction,Books,NonFiction,528.42
PROD00019,Receive Kitchen,Home,Kitchen,863.28
PROD00020,Turn Fiction,Books,Fiction,988.46
PROD00021,child kitchen,Home,Kitchen,1382.7
PROD00022,SIMPLY KITCHEN,Home,Kitchen,851.65
PROD00023,  Sign Fiction   ,Books,Fiction,142.18
PROD00024,Member Footwear,Clothing,Footwear,514.64
PROD00025,Wrong Decor,Home,Decor,1166.37
PROD00026,  Her Phone   ,Electronics,Phones,1012.58
PROD00027,Amount Bedding,Home,Bedding,731.06
PROD00028,Discuss Educational,Books,Educational,1133.64
PROD00029,Sort Accessorie,Electronics,Accessories,428.45
PROD00030,  mETHOD cOMIC ,Books,Comics,1476.75
PROD00031,EACH PHONE,Electronics,Phones,1152.19
PROD00032,At Decor,Home,Decor,16.56
PROD00033,EVERYTHING NONFICTION,Books,NonFiction,752.89
PROD00034,Hope Kitchen,Home,Kitchen,1114.35
PROD00035,East Fiction,Books,Fiction,121.4
PROD00036,And Bedding,Home,Bedding,1065.7
